#RName	Run20
#StaD	20230504
#EndD	20230512
#StaU	1683186641
#EndU	1683888774
#Names	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	2105-137	2105-136	2105-017	2105-133	2105-141	2105-135	2105-131	2105-158	2105-142	2105-143	2105-055	2105-070	2105-204	2105-139	2105-140	2105-138
12	2105-132	2105-064	2105-090	2105-071	2105-115	2105-108	2105-102	2105-091	2105-082	2105-084	2105-103	2105-085	2105-204	2105-072	2105-114	2105-048
13	2110-017	2110-018	2110-019	2110-020	2110-021	2110-022	2110-023	2110-024	2110-025	2110-026	2110-027	2110-028	2110-029	2110-030	2110-031	2110-032
14	2110-097	2110-098	2110-099	2110-100	2110-101	2110-102	2110-103	2110-104	2110-105	2110-106	2110-107	2110-108	2110-109	2110-110	2110-111	2110-112
15	2110-033	2110-034	2110-035	2110-036	2110-037	2110-038	2110-039	2110-040	2110-041	2110-042	2110-043	2110-044	2110-045	2110-046	2110-047	2110-048
16	2110-049	2110-050	2110-051	2110-052	2110-053	2110-054	2110-055	2110-056	2110-057	2110-058	2110-059	2110-060	2110-061	2110-062	2110-063	2110-064
#Thres	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	80	80	80	80	80	80	80	80	80	80	75	75	80	80	80	80
2	95	95	95	95	95	95	95	80	95	95	95	95	95	95	95	90
3	80	75	80	80	75	80	80	80	80	80	80	80	90	80	80	80
4	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
5	80	80	80	80	80	80	70	70	80	80	80	80	80	70	80	80
6	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110
7	80	80	80	80	80	85	35	40	40	40	40	40	40	40	40	40
8	40	40	40	40	40	40	35	40	95	95	90	130	100	100	100	100
9	90	90	90	90	90	90	90	90	85	85	80	90	90	90	90	90
10	120	120	120	120	120	120	110	110	120	120	120	120	120	120	120	120
11	80	80	80	80	80	80	80	80	85	80	80	85	70	80	80	80
12	80	75	80	75	100	85	85	95	100	90	85	85	100	85	95	85
13	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35
14	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110
15	40	40	35	40	110	110	110	110	110	110	110	110	110	110	110	110
16	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110
#Volta	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2
2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2
3	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2
4	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2
5	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2
6	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2
7	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2
8	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2
9	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2
10	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2
11	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2
12	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2
13	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2
14	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2
15	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2
16	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2	29.2
#DPhi	75
#DThe	171
#LastLine
